Question,Option A,Option B,Option C,Option D,Answer,Explanation

# 1. A capacitor in an RC circuit with R=2 ohm and C-4 F is being charged. The time besen required for the capacitor voltage to reach 63.2 percent of its steady-state value is:,4s,8s,1/2 s,None of these,b,
# 2. How many  valid hosts are available for the network segment 192.166.2.16/28?,16,",8",15,14,d,
# 3. the ouput of the segment :,"Mazda, Ford",Ford BMW,MazdaFord,,c,
# 4. Which circuit can be used as a parallel to the serial converter?,A decoder,An encoder,De-multiplexer,Multiplexer,d 	,
"# 5. func3 (6)-func2 (4,5)/func1 (1,2,3);",func10);,func2();,func3();,Cannot be predicted,d,
# 6. An organization is granted block 130.34.12.64 / 26. Find the number of addresses for the whole network.,128,32,256,None,d ,
# 7. Difference between Latch and Flip-flop is:,Flip-flop has a clock but Latch doesn't have,Flip-flop is edge-triggered but ==L==atch is ==L==evel triggered,Both are true,None are true,c ,
# 18. Which of the following sequence that a microprocessor follows?,"Fetch, decode, execute","Fetch, execute, decode","Decode, fetch, execute","Execute, decode, fetch",a ,
# 9. If the message bit is 111 then the Even-parity bit will be:  #os/parity,1111,1,0,None,b ,
# 10. What is the content of Stack Pointer (SP)?  #os/stack_pointer,Address of the current instruction,Address of the next instruction,Address of the top element of the stack,Size of the stack..,c,
# 11. An address in the main memory is called  #os/memory,Physical address,Logical address,Memory address,Word address,a ,
# 12. Which of the following format is usually used to store data? #os,Decimal,BCD,Octal,Hexadecimal,b ,
"# 13. If in an RLC series circuit source voltage 100sinot V, Resistance 10 Ohm, inductive reactance 10 ohm and capacitive reactance 10 ohm then current in the circuit will be:  #eee",10 A,3.33 A,3.33sinot A,10 sinot A,a,
# 14. A number of operations processes per second by a processor is called-,Instruction processor,Bandwidth,Clock Speed,Frequency,c,
"# 15. The voltage induced in an inductor is represented as,  #eee",product of its inductance and current through it,ratio of its inductance to the current through it.,ratio of current through it to its inductance.,product of its inductance and rate of change of current through it.,d ,
# 16. What will be the output of the following C code?,10,Compile-time error,Undefined behavior,11,b,
"# 17.  +------+  is a group of networks and routers under the authority of a single administration,",An autonomous system,An Area,A System,Both an autonomous system and an area,a ,
# 18. Bridges are used at,Physical layer,MAC layer  (Media Access Control)  [[TCP layer#**2. Data Link Layer**|more ...]],Network layer,Transport layer,b ,
# 19. DMA stands for?,Direct Memory Access,Direction Memory Access (d) Direct Memory Accumulator,Dictate Memory Accumulator,,a ,
"# 20. A D flip-flop is having three inputs `D, CLK and CLR` Which input is asynchronous:  #flip_flop",D  (data Input) [[Flip Flop]],CLK,CLR,None,c ,
# 21. Superposition principle states that at a time  ------ source(S) acts.,all the given sources,only voltage sources,only one source,only current sources,c ,
# 22. At frequencies the parallel R-L circuit behaves as purely resistive.,low very,low,high,,d,
# 23. Which of the following is the correct syntax to pass a Function Pointer as an,"void pass(int (*fptr)(int, float, char)){} (b) void pass(*fptr(int, float, char)){}",,void pass(int (*fptr)){},void pass(*fptr) {},a,
# 24. What will be the output of the following C code?,Output: The product of three numbers is: 24 (c) Output: The product of three numbers is: 6 Note: The product of three numbers is: 38141184,The code is incorrect,,,Note,
"# 25. An electrical series circuit consists of a 100V battery, 20-Ohm resistance and a 5μF capacitance. The voltage drop across 20-Ohm resistance is: #eee",5V,4V,OV,100V,c,
# 26. The maximum addressing capacity of a microprocessor that uses 16-bit database & 32-bit address base is: #mp,64 K.,-1.1,Both 64 K and 4 GB,None of these,b ,
# 28. Imaginary part of Admittance of an AC circuit is: #eee,Resistance,Conductance,Reactance (d) Susceptance,Implementation defined,d ,
# 29. What will be the output of the following pseudocode?,15,7,0,2,,
"# 30. Generally, Dynamic RAM is used as main memory in a computer system as it: #cse",Consumes less power,Has higher speed,Has lower cell density,Needs refreshing circuitry,b ,
# 31. 2's complement of 00000000 is: #cse,11111111,10000000,00000000,00000001,Note,
# 32. Which of the following is NOT passive elements? #untagged,Resistor,Bulb,Op-Amp,Electric Iron,,
# 33. How to convert a JK Flip flip to T Flip-flop? [[Flip Flop]],by adding an NOT Gate 700,by adding an AND Gate/(6) 29**,by adding an X-OR Gate paqes,No extra gate is required,d,
# 34. If object is passed by value -------,Copy constructor is used to copy the values into temporary object,Copy constructor is used to copy the values into another object in the function,Reference to the object is used to access the values of the object,Reference to the object is used to created new object in its place,b ,
# 35. Suppose you have many 4×1 MUXes. You need a 16×1 MUX. How many 4×1 MUX you are required to build a 16×1 MUX:  #multiplexer,3,4,5,6,c,
"# 36. Consider an array of float. Calculate the difference between the address of the 1st and 4th element, assuming float occupies 4 bytes of memory.",12,4,16,8,a,
# 37. In a Johnson counter: #flip_flop,the output of the first flip-flop is connected to the input of the last flip-flop,the output of the last flip-flop is connected to the input of the first flip-flop,the inverted output of the last flip-flop is connected to the input of the first flip-flop,None,c ,
# 38. IP Address of a network is 192.120.105.0. What will be the maximum subnet number fulfilling the condition that each subnet can accommodate at max 14 hosts-  #networking/ip_addr,20,32,16,8,c,
"# 39. You are working with three networks that that have the network IDs zaal 192.168.5.0,192.168.6.0 and 192.168.7.0. What subnet mask can you use to combine anal these addresses into one? #networking/ip_addr",255.255.252.0,255.255.254.0,255.155.240.0,255.255.255.252100,a ,
"# 40. In an IP packet, what is the maximum size of an IP header? #networking/ip_addr",20B,4B,14B,60B,d,
"# 41. If we apply 0001 to a to the input of a seven-segment decoder then what will be the outputs,",0110000 for a seven-segment display with common-cathode,1001111 for a seven-segment display with common-anode,Both A and B are true,None are true,c ,
# 42. Which one is an example of routed protocol? #networking,IP,RIP,IGRP,OSPF,a ,
"# 43. If IP address of a device is 172.192.20.10/20, then what will be the network address in which the device belongs?   #networking",172.192.0.0,172.192.16.10,172.192.20.0,172.192.16.0,d,
"# 44. The term ""%i' is used for #cse",char,int,none of the above,float,b ,
# 45. What remains always local on the LAN and never goes through a router? #networking,MAC address,IP Address,Logical Address,None of the above,a,
"# 46. If class C inherits class B. And B has inherited class A. Then while creating the object of class C, what will be the sequence of constructors getting called? #cse","Constructor of C then B, finally of A","Constructor of A then C, finally of B","Constructor of A then B, finally C","Constructor of C then A, finally B",c ,
# 47. An electrical Y network consists of each arm's 1-ohm resistor. The equivalent Delta network will have each arm with: #eee,3 Ohm,1/3 Ohm,4 Ohm,1 Ohm,d,
"# 48. A Program Counter contains the number 825 and addresses part of the instruction contains the number 24. The effective address in the relative address mode, when an instruction is read from the memory is:",849,850,801,802,b,
# 49. What will be the output of the following C code? #cse/code,5 5 5,5 5 junk value,7 7 7,Compile-time error,c,
# 50. If V1=50sin (wot+10) and V2=30sin (wt+50) then:  #eee,V1 leads V2,V2 leads V1,V2 lags VI,VI and V2 in phase,b,
# 51. The average time required to reach a storage location in memory and obtain its contents is called the-,seek time,turnaround time,access time (d) transfer time,,c ,
# 52. Which routing protocol does not consume the bandwidth of the network? #networking,A default routing,Dynamic routing,Static routing,None of the above,c ,
# 53. Advantage of JK Flip-flop over SR Flip-flop is: #flip_flop,It is faster than SR,It has no forbidden state,It has no toggle state,All of the above,b ,
# 54. What is the expression for Thevenin's current if there is an external resistance in series with the Ru?  #eee,Vt/Ith,Vth/ (Rth-R),Vt/ (Rth+R),V-/Rs,,
# 55. In priority encoder: #eee #encoder,first bit is considered don't care,higher priority bit is considered don't care,lower priority bit is considered don't care,None,c,
# 56. Which of the following is NOT the components of a microprocessor?,ALU,Register Array,Hard Disk,Control Unit,c,
"# 57. Assume A, B, C and D represent the complements of A, B, C and D, respectively. Now in a 4-variable (ABCD) logic circuit K-map (AB makes Row and CD makes Column) the cell of first row and then the third column will be indicated by: #math",ABCD,ABCD,ABCD,ABCD,c,
# 58. An instruction pipeline can be  implemented by means of: #untagged,LIFO buffer,,Stack,None of the above,b,
# 59. Internet Group Management Protocol (IGMP) protocol. #networking,An error reporting,A group management,A transmission,None of the above.,b ,
# 60. The r.m.s. value of alternating current is given by steady (D.C.) current which when  flowing through a given circuit for a given time produces. #eee,"the more heat than produced by A.C. when flowing through the same circuit,","the same heat as produced by A.C. when flowing through the same circuit,","the less heat than produced by A.C. flowing through the same circuit, (d) None",,b,
 
"# 1. Between a client and a web server, which of the following used for inspecting the data that is sent from the client to the web server and blocking attacks such as SQL injection? #networking",Cluster configuration,Load balancing function,SSL-VPN function,WAF,d ,
# 2. Which one of the following is false with respect to 4G and 5G cellular network?,5G supports faster bandwidth compared to 4G.,Latency in 4G networks is much higher than 5G network.,4G uses a narrow slice of the available spectrum from 600 MHz to 2.5 GHz,There will be data session handoff feature in 5G network which is not available in 4G network,d ,
"# 3. What is the propagation time for a 2.5-kbyte message (an e-mail) if the bandwidth of the network is 1Gbps? Assume that the distance between the sender and the receiver is 12,000 km and that light travels at 2.4 x 108 m/s. #math #networking",50ms,0.020ms,100ms,0.040,b ?  [[Maths#**Solution for Prob -3 & more**| sol and more..]],
